iter	RMSE
0	14.4947944
1	14.11797316
2	13.75346032
3	13.39989416
4	13.06978047
5	12.7692016
6	12.46937009
7	12.19509411
8	11.93753301
9	11.64778324
10	11.37006165
11	11.13954546
12	10.89456385
13	10.65565009
14	10.41598019
15	10.17837696
16	9.968044685
17	9.757769559
18	9.559606874
19	9.387954828
20	9.239615177
21	9.075041301
22	8.921672091
23	8.755733694
24	8.601117447
25	8.465218209
26	8.333032617
27	8.200134833
28	8.072354118
29	7.951315588
30	7.857983034
31	7.752091096
32	7.6551172
33	7.557081606
34	7.450899916
35	7.359710186
36	7.268045094
37	7.188841827
38	7.108470168
39	7.030150423
40	6.959817473
41	6.889607577
42	6.819359935
43	6.762082335
44	6.697968676
45	6.637311815
46	6.580947338
47	6.528664937
48	6.468931097
49	6.421129246
50	6.365736219
51	6.312441086
52	6.265667487
53	6.224029957
54	6.178330201
55	6.143336898
56	6.096954121
57	6.058423719
58	6.02381807
59	5.99279197
60	5.959516138
61	5.926550383
62	5.897730874
63	5.867547992
64	5.840376705
65	5.811763076
66	5.785791337
67	5.758546539
68	5.73778768
69	5.716756849
70	5.690681259
71	5.669465211
72	5.648748692
73	5.628603859
74	5.60978001
75	5.591941024
76	5.575096998
77	5.560245106
78	5.547789827
79	5.529697376
80	5.512521146
81	5.497313437
82	5.483308817
83	5.469655298
84	5.454985778
85	5.439600848
86	5.424481561
87	5.412088092
88	5.399989345
89	5.384124422
90	5.373228097
91	5.362561179
92	5.351769739
93	5.338133142
94	5.330221308
95	5.321397756
96	5.313006579
97	5.304653752
98	5.295507591
99	5.285718879
100	5.277121844
101	5.26716556
102	5.255909305
103	5.246257351
104	5.237085083
105	5.226186292
106	5.215997355
107	5.209996242
108	5.204042341
109	5.197701575
110	5.189190372
111	5.181111945
112	5.173704875
113	5.168152364
114	5.162726953
115	5.15645559
116	5.148102597
117	5.143397193
118	5.134533602
119	5.129726851
120	5.12736502
121	5.12074156
122	5.109536009
123	5.104250445
124	5.099347413
125	5.097012846
126	5.093091194
127	5.087441418
128	5.08041849
129	5.074527413
130	5.068419343
131	5.063502362
132	5.054821768
133	5.051655681
134	5.047853418
135	5.042477048
136	5.039212715
137	5.032914351
138	5.025164266
139	5.021786459
140	5.01598228
141	5.009251937
142	5.003397183
143	4.997090827
144	4.991550747
145	4.985346887
146	4.980273726
147	4.972601771
148	4.968641887
149	4.965455355
150	4.96084135
151	4.957262031
152	4.95383816
153	4.949460398
154	4.941975881
155	4.936384403
156	4.930612436
157	4.927030257
158	4.92225512
159	4.915671545
160	4.913146357
161	4.909997842
162	4.906850549
163	4.902910685
164	4.899205879
165	4.893079099
166	4.890061827
167	4.88559096
168	4.878305727
169	4.87515858
170	4.868981331
171	4.865918643
172	4.861762779
173	4.858412083
174	4.85484862
175	4.848944702
176	4.844353217
177	4.838118892
178	4.832709962
179	4.82829349
180	4.825712077
181	4.821499316
182	4.818514337
183	4.814329589
184	4.812080797
185	4.806608301
186	4.803824528
187	4.79854462
188	4.795334523
189	4.792010084
190	4.787253041
191	4.784479005
192	4.780486897
193	4.775628141
194	4.770344673
195	4.763502314
196	4.760656691
197	4.756682305
198	4.754193733
199	4.750227527
200	4.745915052
201	4.741607423
202	4.738184787
203	4.734247185
204	4.727162225
205	4.723466655
206	4.717204997
207	4.713896395
208	4.709150474
209	4.705231471
210	4.699029803
211	4.69594583
212	4.691919309
213	4.688442716
214	4.685954506
215	4.683364701
216	4.680921412
217	4.678924747
218	4.675166792
219	4.67131654
220	4.668243815
221	4.665623845
222	4.661159061
223	4.658201173
224	4.652193359
225	4.651024189
226	4.647378894
227	4.642305278
228	4.637610268
229	4.634836882
230	4.632252136
231	4.628864562
232	4.626123512
233	4.621612506
234	4.618924182
235	4.615849857
236	4.61082945
237	4.608343299
238	4.605185718
239	4.602781142
240	4.598070094
241	4.597332396
242	4.593916537
243	4.592074672
244	4.589810134
245	4.589221975
246	4.58632685
247	4.585181642
248	4.583282861
249	4.580706137
250	4.577929624
251	4.576150592
252	4.571325515
253	4.565138734
254	4.563439636
255	4.55934956
256	4.555446239
257	4.555117775
258	4.553938431
259	4.55090034
260	4.546770225
261	4.543788891
262	4.540267855
263	4.535492867
264	4.531669914
265	4.531253412
266	4.529665991
267	4.527069874
268	4.525761633
269	4.521622341
270	4.520803839
271	4.519578761
272	4.514638425
273	4.510983075
274	4.508158354
275	4.503718028
276	4.501173282
277	4.498553649
278	4.495210468
279	4.491896805
280	4.488374259
281	4.485450674
282	4.477827084
283	4.472676652
284	4.46783607
285	4.46727206
286	4.463981372
287	4.45947241
288	4.456648574
289	4.453274534
290	4.449276017
291	4.44652301
292	4.445830613
293	4.44114174
294	4.43915182
295	4.43736933
296	4.435530924
297	4.431917468
298	4.426691275
299	4.424260018
300	4.419068311
301	4.416293543
302	4.411817241
303	4.406803754
304	4.40136804
305	4.395315818
306	4.393704996
307	4.391612161
308	4.389162694
309	4.388898235
310	4.386715328
311	4.383324314
312	4.381294564
313	4.379527994
314	4.377262354
315	4.37623382
316	4.37370408
317	4.370086956
318	4.364590815
319	4.361966729
320	4.355627856
321	4.353214483
322	4.351280304
323	4.3507861
324	4.345433485
325	4.345174366
326	4.340354228
327	4.338347553
328	4.335816453
329	4.332878633
330	4.330267056
331	4.32723288
332	4.324563027
333	4.32381709
334	4.318453153
335	4.312417173
336	4.307770473
337	4.303748563
338	4.300081842
339	4.295686394
340	4.293414272
341	4.291544248
342	4.285521472
343	4.279307438
344	4.277203422
345	4.271404449
346	4.270702727
347	4.267837455
348	4.265997047
349	4.263774789
350	4.262186745
351	4.261619614
352	4.259776203
353	4.257243008
354	4.257026797
355	4.25176006
356	4.251473534
357	4.246156448
358	4.244140053
359	4.240581208
360	4.235660283
361	4.233534627
362	4.232481322
363	4.228348575
364	4.224222914
365	4.219719758
366	4.216942916
367	4.212366179
368	4.211561373
369	4.206519845
370	4.206321075
371	4.204863662
372	4.202608303
373	4.197593112
374	4.194578219
375	4.19040336
376	4.184327184
377	4.180410201
378	4.176465818
379	4.173542195
380	4.173262725
381	4.171553242
382	4.171188292
383	4.169252018
384	4.164563136
385	4.160539391
386	4.156144815
387	4.152770467
388	4.151481243
389	4.148231183
390	4.14512584
391	4.141368983
392	4.139924109
