iter	Passed	Remaining
0	0	604
1	1	531
2	5	1878
3	6	1526
4	9	1833
5	9	1604
6	10	1443
7	10	1318
8	15	1729
9	16	1604
10	16	1498
11	20	1673
12	23	1756
13	23	1663
14	25	1670
15	27	1721
16	28	1647
17	30	1688
18	31	1622
19	34	1670
20	34	1611
21	37	1663
22	37	1609
23	38	1560
24	38	1514
25	43	1639
26	44	1595
27	44	1552
28	50	1676
29	50	1634
30	51	1595
31	51	1557
32	56	1645
33	56	1609
34	57	1575
35	57	1541
36	62	1632
37	63	1599
38	66	1636
39	67	1613
40	67	1584
41	68	1554
42	73	1627
43	73	1599
44	79	1684
45	79	1655
46	82	1681
47	83	1654
48	83	1628
49	87	1670
50	88	1645
51	92	1680
52	92	1656
53	93	1631
54	93	1608
55	94	1585
56	99	1646
57	99	1624
58	100	1602
59	100	1580
60	106	1638
61	106	1617
62	107	1596
63	107	1576
64	108	1558
65	108	1539
66	109	1521
67	115	1576
68	115	1559
69	115	1539
70	116	1522
71	121	1561
72	121	1544
73	122	1527
74	126	1560
75	126	1543
76	127	1527
77	127	1511
78	133	1556
79	133	1540
80	134	1524
81	134	1509
82	140	1557
83	141	1542
84	145	1563
85	145	1548
86	146	1533
87	146	1519
88	147	1505
89	151	1530
90	151	1516
91	156	1546
92	156	1531
93	158	1527
94	158	1514
95	163	1541
96	164	1529
97	164	1516
98	165	1503
99	166	1498
100	166	1485
101	167	1472
102	167	1459
103	168	1452
104	169	1441
105	169	1430
106	170	1426
107	171	1414
108	171	1402
109	171	1391
110	172	1380
111	173	1379
112	174	1368
113	174	1359
114	175	1349
115	176	1345
116	177	1336
117	177	1330
118	178	1320
119	179	1316
120	179	1305
121	180	1299
122	181	1291
123	181	1282
124	182	1274
125	182	1264
126	183	1262
127	184	1253
128	185	1249
129	185	1241
130	185	1233
131	186	1225
132	187	1225
133	188	1217
134	188	1210
135	189	1202
136	190	1202
137	191	1195
138	191	1187
139	192	1180
140	192	1173
141	193	1166
142	194	1165
143	194	1157
144	195	1150
145	196	1147
146	196	1140
147	197	1134
148	197	1127
149	199	1127
150	199	1120
151	199	1114
152	200	1110
153	201	1104
154	201	1098
155	202	1095
156	202	1089
157	203	1083
158	204	1080
159	204	1075
160	205	1069
161	206	1066
162	206	1060
163	207	1056
164	207	1051
165	208	1046
166	208	1041
167	209	1036
168	210	1035
169	210	1029
170	211	1024
171	211	1019
172	212	1016
173	213	1012
174	213	1006
175	214	1003
176	214	998
177	215	994
178	215	989
179	216	984
180	217	984
181	217	979
182	219	981
183	220	977
184	221	974
185	221	970
186	222	966
187	223	963
188	223	958
189	223	954
190	225	953
191	225	948
192	225	944
193	226	942
194	227	938
195	227	934
196	228	930
197	228	926
198	229	924
199	230	920
200	231	919
201	231	915
202	232	912
203	232	908
204	233	906
205	234	902
206	235	900
207	235	896
208	236	894
209	237	892
210	237	889
211	238	885
212	243	900
213	244	896
214	244	893
215	244	889
216	245	885
217	245	882
218	247	881
219	247	877
220	248	875
221	249	872
222	249	870
223	250	866
224	251	865
225	251	862
226	252	858
227	253	857
228	254	855
229	254	851
230	254	848
231	255	845
232	256	845
233	257	842
234	257	839
235	258	835
236	258	831
237	258	828
238	260	828
239	260	825
240	261	823
241	262	822
242	263	819
243	263	816
244	264	815
245	264	812
246	265	808
247	265	805
248	265	801
249	269	807
250	269	804
251	269	801
252	270	797
253	271	797
254	271	794
255	272	792
256	273	789
257	273	786
258	274	784
259	275	782
260	275	779
261	275	776
262	276	773
263	277	773
264	277	770
265	278	769
266	279	766
267	279	764
268	280	762
269	281	759
270	281	757
271	281	754
272	283	754
273	283	752
274	284	749
275	284	746
276	285	746
277	286	743
278	286	741
279	287	738
280	288	737
281	288	735
282	289	732
283	289	730
284	290	727
285	291	727
286	291	725
287	292	724
288	293	722
289	294	719
290	294	717
291	296	717
292	296	715
293	297	713
294	297	711
295	298	709
296	299	707
297	299	705
298	300	703
299	300	701
300	301	699
301	302	698
302	302	695
303	303	693
304	303	691
305	303	689
306	304	687
307	305	686
308	305	683
309	306	681
310	306	679
311	307	677
312	307	674
313	307	672
314	308	670
315	308	668
316	309	667
317	310	665
318	310	663
319	311	661
320	311	659
321	312	657
322	312	654
323	313	653
324	313	652
325	314	650
326	315	650
327	316	648
328	316	646
329	323	657
330	324	655
331	325	654
332	325	652
333	326	650
334	326	648
335	328	648
336	328	646
337	329	644
338	329	642
339	330	642
340	331	640
341	331	638
342	332	636
343	332	634
344	333	632
345	333	630
346	335	630
347	335	628
348	336	626
349	336	624
350	338	625
351	339	624
352	339	622
353	340	621
354	341	619
355	342	618
356	342	617
357	343	615
358	344	614
359	344	612
360	345	612
361	346	611
362	348	610
363	349	610
364	349	608
365	350	607
366	351	606
367	352	605
368	352	603
369	353	601
370	354	600
371	354	599
372	355	597
373	357	597
374	357	595
375	357	593
376	359	593
377	359	591
378	360	589
379	361	589
380	361	587
381	361	585
382	362	583
383	363	583
384	364	581
385	365	581
386	365	579
387	366	578
388	366	576
389	367	574
390	368	574
391	369	572
392	369	570
393	370	570
394	372	570
395	373	569
396	373	567
397	374	566
398	374	564
399	375	562
400	376	562
401	377	560
402	377	559
403	377	557
404	379	557
405	379	555
406	380	553
407	381	553
408	381	551
409	381	549
410	382	547
411	383	547
412	383	545
413	384	544
414	385	542
415	385	541
416	386	540
417	386	538
418	387	536
419	388	536
420	388	534
421	389	533
422	389	531
423	390	530
424	391	529
425	391	527
426	391	525
427	392	524
428	393	523
429	394	522
430	394	521
431	395	519
432	395	517
433	395	516
434	396	514
435	397	514
436	398	512
437	398	511
438	399	509
439	400	509
440	400	508
441	401	506
442	401	505
443	402	503
444	402	502
445	402	500
446	403	498
447	403	497
448	407	499
449	407	498
450	408	496
451	408	495
452	409	494
453	409	492
454	411	492
455	411	490
456	411	489
457	412	488
458	413	487
459	414	486
460	414	484
461	414	483
462	416	482
463	416	481
464	417	480
465	417	478
466	418	477
467	418	475
468	418	474
469	419	473
470	420	472
471	420	470
472	421	469
473	421	468
474	422	466
475	422	465
476	423	464
477	424	463
478	424	462
479	425	461
480	426	459
481	426	458
482	426	456
483	427	455
484	429	455
485	429	454
486	430	453
487	431	452
488	431	451
489	432	449
490	432	448
491	433	448
492	434	446
493	435	445
494	435	444
495	436	443
496	436	441
497	436	440
498	438	439
499	438	438
500	439	437
501	440	436
502	440	435
503	440	433
504	441	432
505	441	431
506	442	429
507	442	428
508	442	427
509	443	426
510	444	425
511	444	423
512	444	422
513	445	421
514	446	420
515	446	419
516	447	417
517	447	416
518	448	415
519	449	415
520	450	413
521	450	412
522	451	411
523	451	410
524	452	409
525	452	408
526	453	406
527	453	405
528	453	404
529	454	402
530	454	401
531	456	401
532	457	400
533	457	399
534	458	398
535	458	396
536	459	396
537	460	395
538	460	393
539	461	393
540	462	392
541	462	390
542	463	390
543	463	388
544	464	387
545	464	386
546	465	385
547	467	385
548	467	384
549	468	383
550	469	382
551	469	381
552	470	379
553	470	379
554	471	378
555	472	376
556	472	375
557	473	375
558	474	374
559	474	373
560	475	372
561	475	370
562	476	370
563	477	369
564	477	367
565	478	366
566	479	365
567	479	364
568	480	363
569	480	362
570	481	361
571	481	360
572	481	359
573	482	357
574	482	356
575	482	355
576	489	358
577	489	357
578	490	356
579	491	355
580	491	354
581	492	353
582	492	352
583	493	351
584	494	350
585	495	349
586	495	348
587	496	347
588	496	346
589	497	345
590	498	344
591	498	343
592	499	343
593	500	342
594	501	341
595	501	340
596	502	339
597	502	338
598	503	337
599	504	336
600	504	335
601	505	334
602	506	333
603	506	332
604	507	331
605	507	330
606	508	329
607	509	328
608	509	327
609	510	326
610	510	325
611	511	324
612	511	323
613	512	322
614	513	321
615	513	320
616	514	319
617	514	318
618	515	317
619	515	316
620	517	315
621	517	314
622	518	313
623	518	312
624	519	311
625	519	310
626	520	309
627	521	308
628	521	307
629	524	307
630	524	306
631	525	305
632	528	306
633	529	305
634	531	305
635	533	305
636	533	304
637	535	304
638	536	303
639	536	301
640	539	302
641	540	301
642	540	300
643	540	298
644	542	298
645	543	297
646	543	296
647	546	296
648	546	295
649	547	294
650	547	293
651	549	293
652	550	292
653	550	291
654	551	290
655	552	289
656	552	288
657	553	287
658	553	286
659	554	285
660	554	284
661	555	283
662	557	283
663	557	282
664	558	281
665	559	280
666	560	279
667	561	279
668	561	277
669	562	276
670	563	276
671	563	275
672	564	274
673	564	273
674	564	272
675	565	270
676	565	269
677	566	268
678	567	268
679	568	267
680	569	266
681	569	265
682	570	264
683	570	263
684	570	262
685	572	262
686	572	261
687	575	260
688	575	259
689	576	258
690	577	258
691	578	257
692	578	256
693	579	255
694	579	254
695	579	253
696	580	252
697	580	251
698	581	250
699	582	249
700	582	248
701	583	247
702	584	246
703	585	245
704	585	244
705	586	244
706	586	243
707	587	242
708	588	241
709	588	240
710	588	239
711	589	238
712	589	237
713	590	236
714	591	235
715	592	234
716	592	233
717	593	233
718	593	232
719	594	231
720	594	230
721	595	229
722	596	228
723	596	227
724	597	226
725	598	225
726	598	224
727	599	223
728	599	222
729	601	222
730	601	221
731	602	220
732	602	219
733	603	218
734	604	217
735	604	216
736	605	215
737	605	215
738	605	214
739	607	213
740	607	212
741	608	211
742	609	210
743	609	209
744	609	208
745	611	208
746	611	207
747	612	206
748	612	205
749	613	204
750	613	203
751	613	202
752	615	201
753	615	200
754	616	199
755	617	199
756	617	198
757	618	197
758	619	196
759	619	195
760	619	194
761	620	193
762	621	193
763	622	192
764	622	191
765	623	190
766	623	189
767	624	188
768	624	187
769	626	187
770	626	186
771	627	185
772	627	184
773	628	183
774	628	182
775	629	181
776	629	180
777	631	180
778	631	179
779	632	178
780	633	177
781	633	176
782	634	175
783	635	174
784	635	174
785	635	173
786	636	172
787	636	171
788	637	170
789	637	169
790	638	168
791	644	169
792	644	168
793	645	167
794	646	166
795	646	165
796	647	164
797	647	163
798	647	162
799	648	162
800	648	161
801	648	160
802	650	159
803	651	158
804	651	157
805	652	157
806	653	156
807	654	155
808	654	154
809	655	153
810	656	152
811	657	152
812	657	151
813	658	150
814	658	149
815	659	148
816	659	147
817	660	146
818	661	146
819	661	145
820	661	144
821	663	143
822	663	142
823	664	141
824	665	141
825	665	140
826	666	139
827	666	138
828	667	137
829	668	136
830	668	135
831	669	135
832	669	134
833	669	133
834	670	132
835	670	131
836	670	130
837	671	129
838	671	128
839	672	128
840	673	127
841	673	126
842	673	125
843	674	124
844	674	123
845	674	122
846	676	122
847	676	121
848	677	120
849	677	119
850	678	118
851	678	117
852	678	116
853	679	116
854	679	115
855	679	114
856	680	113
857	680	112
858	681	111
859	681	110
860	681	110
861	682	109
862	682	108
863	683	107
864	683	106
865	683	105
866	684	104
867	684	104
868	684	103
869	685	102
870	685	101
871	686	100
872	686	99
873	686	99
874	687	98
875	687	97
876	688	96
877	688	95
878	688	94
879	689	93
880	689	93
881	689	92
882	690	91
883	690	90
884	691	89
885	691	88
886	692	88
887	692	87
888	692	86
889	693	85
890	693	84
891	693	83
892	693	83
893	694	82
894	694	81
895	695	80
896	695	79
897	696	79
898	696	78
899	696	77
900	697	76
901	697	75
902	697	74
903	698	74
904	698	73
905	698	72
906	699	71
907	699	70
908	700	70
909	700	69
910	701	68
911	701	67
912	702	66
913	705	66
914	706	65
915	706	64
916	707	64
917	708	63
918	708	62
919	709	61
920	709	60
921	713	60
922	714	59
923	715	58
924	717	58
925	718	57
926	719	56
927	728	56
928	728	55
929	731	55
930	732	54
931	733	53
932	736	52
933	736	52
934	739	51
935	740	50
936	740	49
937	744	49
938	745	48
939	746	47
940	746	46
941	747	46
942	748	45
943	750	44
944	751	43
945	753	43
946	753	42
947	756	41
948	758	40
949	760	40
950	763	39
951	763	38
952	764	37
953	768	37
954	770	36
955	771	35
956	775	34
957	776	34
958	779	33
959	779	32
960	783	31
961	784	30
962	785	30
963	785	29
964	788	28
965	789	27
966	791	27
967	793	26
968	794	25
969	794	24
970	796	23
971	798	22
972	799	22
973	800	21
974	802	20
975	803	19
976	805	18
977	805	18
978	806	17
979	809	16
980	810	15
981	810	14
982	819	14
983	820	13
984	821	12
985	821	11
986	825	10
987	826	10
988	826	9
989	827	8
990	830	7
991	832	6
992	832	5
993	833	5
994	835	4
995	836	3
996	838	2
997	838	1
998	841	0
999	842	0
